,votes,user_id,review_id,text,business_id,stars,date,type
10,"{u'funny': 0, u'useful': 0, u'cool': 0}",JPPhyFE-UE453zA6K0TVgw,mjCJR33jvUNt41iJCxDU_g,"cold cheap beer  good bar food  good service  looking great pittsburgh style fish sandwich, place  breading light, fish plentiful good home cut fries  good grilled chicken salads steak   soup day homemade lots specials  great place lunch bar snacks beer ",UsFtqoBl7naz8AVUBZMjQQ,4,28-11-14,review
11,"{u'funny': 0, u'useful': 0, u'cool': 0}",pl78RcFgklDns8atQegwVA,kG7wxkBu62X6yxUuZ5IQ6Q,"possibly overhyped establishment allegheny county  you're regular, ignored who're tending bar  beer selection okay, prices good service terrible  else's idea ",UsFtqoBl7naz8AVUBZMjQQ,2,24-02-16,review
12,"{u'funny': 0, u'useful': 1, u'cool': 0}",fhNxoMwwTipzjO8A9LFe8Q,XsA6AojkWjOHA4FmuAb8XQ,"decent range somewhat close city   mats pretty solid; grass range needs tended   like hitting open type rough   amenable practicing   kind defeats purpose going golf range   gets 3 stars range lit night excellent addicted amazing game, somewhat short time (having job kinda sucks ",cE27W9VPgO88Qxe4ol6y_g,3,19-08-12,review
13,"{u'funny': 0, u'useful': 1, u'cool': 0}",-6rEfobYjMxpUWLNxszaxQ,rkD7UDbQ9VM3Va6bI-eBHQ,"owning driving range inside city limits like license print money   don't think ask driving range   decent mats, clean balls accessible hours   hell need people advent machine doles balls   place   april grass tees   btw opened season week golfing weather month   mats look like carpet 107 year old aunt irene's house   worn thread bare   let's talk hours   place equipped lights sell buckets balls 730   light   finally lets pit hit   arrived wasn't sure driving range excavation site mastodon strip mining operation   grass range  just mud   makes good tool figure far actually hitting ball   oh, cash line, place sucks   best hope owner sells actually wants make money service golfers pittsburgh ",cE27W9VPgO88Qxe4ol6y_g,1,18-04-13,review
14,"{u'funny': 0, u'useful': 0, u'cool': 0}",KZuaJtFindQM9x2ZoMBxcQ,WExNE-f93SL4D1q8s9QWKg,"place absolute garbage     half tees available, including grass tees   cash sell bucket 8, despite having lights   finish minute 8, don't plan getting drink   vending machines sold course) sell drinks inside, close drawers 8 dot   weeds grown place   noticed sort batting cage, looks like order   buy place turn ",cE27W9VPgO88Qxe4ol6y_g,1,14-07-13,review
15,"{u'funny': 0, u'useful': 0, u'cool': 0}",H9E5VejGEsRhwcbOMFknmQ,iS34GJhMkkt9kCoTJLYEwA,"finally range heard thing people - just fine work swing  low expectation pleasantly surprised  fairly big range - familiar scally's moon, like tees, nearly nice facility  guys pro shop friendlier guys i've come ranges courses  yards marked targets aim hazards aim away  big red flag extra charge ($3) hit grass  range expert, 4th i've i've seen sort nickel diming    price golf balls reasonable plan week close october season  hopefully, sale, reopen golf facility ",cE27W9VPgO88Qxe4ol6y_g,4,16-08-13,review
16,"{u'funny': 0, u'useful': 0, u'cool': 0}",ljwgUJowB69klaR8Au-H7g,S-G0D8Cy7PnqShoBZu8PCA,"drove yesterday sneak peak   re-opens july 14th wait kids   new range looks amazing   entire range appears turf, help game, looks really nice   tee boxes look state art club house looks like you'll newer course   wait experience",cE27W9VPgO88Qxe4ol6y_g,4,11-07-14,review
17,"{u'funny': 0, u'useful': 5, u'cool': 0}",LWbYpcangjBMm4KPxZGOKg,6w6gMZ3iBLGcUM4RBIuifQ,"place delicious!!  parents saw recommendation visit place rick sebak's ""25 things like pittsburgh"" he's usually pretty accurate   recommendations try reuben, fish sandwich open-faced steak sandwich   went early afternoon late lunch today saturday) seated right away   staff extremely friendly   mom & fish sandwich, dad & brother reuben sandwich   fish good, reuben die  dishes massive, easily shared people   extremely large portions, incredibly affordable   giant fish sandwich $8 giant reuben $7 50   drinks filled checked times meal   definitely  oh bit advice ahead time - cash   come prepared, i'm pretty sure saw atm   believe closed sundays & mondays ",mVHrayjG3uZ_RLHkLj-AMg,5,01-12-12,review
18,"{u'funny': 0, u'useful': 0, u'cool': 0}",m1FpV3EAeggaAdfPx0hBRQ,jVVv_DA5mCDB6mediuwHAw,miss stop best fish sandwich pittsburgh ,mVHrayjG3uZ_RLHkLj-AMg,5,15-03-13,review
19,"{u'funny': 0, u'useful': 3, u'cool': 1}",8fApIAMHn2MZJFUiCQto5Q,3Es8GsjkssusYgeU6_ZVpQ,"place lot reviews - i'm glad doesn't, don't need busier ages, looks  you're ambiance, don't bother  pretend you're movie set pittsburgh 30 years ago works pretty  service hit miss  girls good, slow, amazing  friendly usually different people check make sure you're happy  fresh prepared comes flying kitchen - busy times good food  food awesome! worth little complaints think gets  table, forget -fish sandwiich
-salmon (huge delicious)
-flounder
-shrimp ways (""norfolk"" style oily taste, growing norfolk )
-hawkins st special
-prime rib (sized watch it)

the prices low, portions large, just menu  delicious  i'm pick place lot food, like good value don't want compromise taste, place gem ",mVHrayjG3uZ_RLHkLj-AMg,5,30-03-13,review
20,"{u'funny': 0, u'useful': 1, u'cool': 0}",uK8tzraOp4M5u3uYrqIBXg,KAkcn7oQP1xX8KsZ-XmktA,"place good  emil's watching called ""25 things love pittsburgh"" wqed hosted rick seback  place ain't luxurious restaurant   beer & shot bar / lounge  people friendly & food good  fish sandwich great  ain't great town, rankin, i've worse places!! try place ",mVHrayjG3uZ_RLHkLj-AMg,4,20-10-13,review
21,"{u'funny': 0, u'useful': 0, u'cool': 0}",6wvlM5L4_EroGXbnb_92xQ,BZNJkkP0bXnwQ2-sCqat2Q,"old school     traditional ""mom 'n pop"" quality perfection  best fish chips you'll enjoy equally superb fried shrimp  great way, non-corporate, vestige americana  love ",mVHrayjG3uZ_RLHkLj-AMg,5,07-11-13,review
22,"{u'funny': 0, u'useful': 2, u'cool': 1}",345nDw0oC-jOcglqxmzweQ,VDTIbR3G5_IPkpXbo2MutA,"seen restaurant 25 best places pittsburgh rick seback
ack  went girlfriend grew owner  she's nice employees super nice service excellent fish sandwich girlfriend ruben possibly eat reasonable prices  going try burgers  heard enormous tasty ",mVHrayjG3uZ_RLHkLj-AMg,5,22-03-14,review
23,"{u'funny': 0, u'useful': 0, u'cool': 0}",u9ULAsnYTdYH65Haj5LMSw,5uyYmniYyIB_wtKtyXDudQ,wonderful reuben   map shown yelp page incorrect  actually different hawkins   i'd recommend directions 412-271-9911 ,mVHrayjG3uZ_RLHkLj-AMg,4,29-09-14,review
24,"{u'funny': 0, u'useful': 0, u'cool': 0}",pdHC0oAcG7gNdhuFRAUu0Q,zyn_Libz9VZTZ--OdC4-tQ,good fish sandwich ,mVHrayjG3uZ_RLHkLj-AMg,5,29-09-14,review
25,"{u'funny': 0, u'useful': 3, u'cool': 2}",tAKjY3bQXH51msJbOHYPmQ,uf61rPucuICXhSPXlZ1hIQ,"morning thrift store hunting, friend thinking lunch, suggested emil's he'd seen chris sebak bit tried time  said decent reuben, prepared step time seeing i'm kind addicted late 40's early 50's, rat pack scene, stepping time welcomed change da burgh   long doesn't involve 1979, day shot finding decent reuben da burgh   that's like hunting holy grail  looking bush certainly wouldn't hurt right lunchtime middle   exactly thought lost, driving handful dismal looking blocks looked like neighborhood blighted building highway    aha! yep,  little unassuming building add-on entrance looked like old hand painted sign stating quite simply 'emil's  walked door, entered world  time, place  oh, big burrito/sousa foodies stop reading  wouldn't want walk roll eyes say 'reaaaaaalllly?'

this old world bar/lounge/restaurant gets  plain, dark wood bar plain white walls yinzer pics, good sturdy chairs actual white linens tables  kind neighborhood dive frank dino pulling tables poker, fish sammich, cheap scotch  exactly love oh   good food counts  reuben, friend fries  reubens decent, ny awesome  little bread, overall, tasty definitely filling  skimpy meat  seriously crave true, good ny reuben, afford travel right da burgh  sat ate, burgers came adjoining table  big burgers  steak went past table  huge! asked waitress said 'yeah, huge really good, charges $12 99 ain't nuts?' table came wham  fish sandwiches piled breaded fish looked amazing  yeah, want that!

my friend mentioned chicken parm special day week served 4 pm, fantastic  week day 4   waitress did good job, especially quite growing crowd lunchtime saturday,  kept friendly  pepsi products, brewed iced tea, fresh, did pop ask refills  lunch hour went getting busy emil's frills, good portions, reasonable prices, comfortable neighborhood hole wall   kind like cheers, blue collar neighborhood 1950's  fan-freakin-tastic! feel home definitely want hit mapquest plug gps  sure   really hidden gem  making friend memorize heck addendum: 2nd visit fish sandwich  excellent  truly  pound fish fish-shaped bun opposed da burgh's seemingly popular hamburger bun)  fish flavorful, batter excellent, just $8  best fish sandwich i've da burgh ",mVHrayjG3uZ_RLHkLj-AMg,5,03-11-14,review
26,"{u'funny': 0, u'useful': 0, u'cool': 0}",Kq8-FUG7d_MT2qRNiNBJnA,xY2gjy49dnpQSB2RTZzqCw,"hidden gem, really  took forever worth  right street rankin police station  menu wide selection, really decide wanted went ribeye sandwich  i'm glad did  huge sandwich! added mushrooms, flavorful  boyfriend got fish sandwich, enjoyed  fast friendly service  definitely ",mVHrayjG3uZ_RLHkLj-AMg,4,18-12-14,review
27,"{u'funny': 1, u'useful': 1, u'cool': 4}",a0ULPTNi05w-BNVovVUz2w,1W1vq7D1ofwFKbCA_GWu_A,"reading reviews, place 25 places pittsburgh list years ago   haven't seen known place visit 2013   wasn't 80yo buddy, mr  italo donatucci (world's coolest old italian dude) brought best fish sandwiches hooked!  i've 10 lent season   gave 5 rating based fish sandwich   try bun  way 3 nice size pieces fish equal pound   choice sides, small mac n cheese   staff really friendly service prompt   rough neighborhood, rankin police station right street   visit seen police officers inside mingling locals picking lunch orders   soon plan make visit that's friday lent try menu items ",mVHrayjG3uZ_RLHkLj-AMg,5,06-03-15,review
28,"{u'funny': 0, u'useful': 0, u'cool': 0}",FoFdGS2TjVUUXptBS_gdNQ,RgYjyaOkSY1b5r9wirrfIQ,"love hometown favorites  beat fish sandwiches miss buns opposed sliced bread   stop  support emil's
other favorites include reuben, hawkins avenue sandwich, chrissy club ",mVHrayjG3uZ_RLHkLj-AMg,4,16-03-15,review
29,"{u'funny': 0, u'useful': 0, u'cool': 0}",XN5PALUxEOxgUrhaXXAJzA,mzafz6umneP5CBkzHGGsfQ,"emil's great place eat! prices reasonable, portions huge ordered tasty prepared  people work friendly, customers eat  ample free parking makes easy  didn't worry area- police station right street  don't leave burgh having (1) fish sandwich, (2) reuben  glad ate",mVHrayjG3uZ_RLHkLj-AMg,5,27-05-15,review
30,"{u'funny': 0, u'useful': 0, u'cool': 0}",E5O8wsWiGLqoOVBmG84wcw,boU6hZwK-As9Zf7YHVq4GA,"love place  food delicious (yes yes, fish sandwiches, ok, agree -- did try meatballs?? holy tamoley), adore staff, love windows -- little hermetically sealed 1950s world delicious, real food good people  lots places try create kind ambiance, manufactured  takes decades good food good vibes food really good  :)",mVHrayjG3uZ_RLHkLj-AMg,5,02-07-15,review
31,"{u'funny': 0, u'useful': 1, u'cool': 1}",k0a-uii8yr__Rl-9ipl_RA,e11K8g-0m66gDeRz3TgSIQ,"hankering fried fish tonight fish fry maximilian kolbe going close got home bus, suggested wife 12 year-old daughter try emil's lounge wqed's rick seback loved place did andrew zimmern visited bizarre foods america episode featuring pittsburgh   place rankin - rough edges town mon valley swissvale braddock   don't - outside doesn't decoration speak looks like sort place think twice   tgi fridays isn't    thank god place well-kept little dated -  fripperies   decor - dinner   menu basic reasonable prices   meats seafood high quality order   stuffed cabbage regarded best  pittsburgh   love stuffed cabbage just batch couple weeks ago i'm cabbaged   ruebens   killer waitress raved   wife settled fish sandwiches   true pittsburgh fish sammiches - fresh fried fish crispy breading, crammed enormous pillows soft, chewy crispy mancini's italian bread   adornments - just boatload hot crispy fish   emil's uses cod fillets piled high fillet needs broken fit bun   truly great sandwich   daughter blt - looked good good bread weren't skimpy bacon service pleasant friendly crowd great group folks   fun 4 tables wife pulled trivial pursuit game iphone pretty joined good laugh overall, consider true pittsburgher - visit place   places (big jim's run spirit pittsburgh alive hungry   ",mVHrayjG3uZ_RLHkLj-AMg,5,06-11-15,review
32,"{u'funny': 0, u'useful': 0, u'cool': 0}",LQUy7D5Bzb2WutEXhVg2Tw,MKEs8po2_DFt9msCp8w68A,"coming 30 years, consistantly good food friendly staff  vwey reasonably priced large portions  owner, chrissy taken emil started years ago built place return  favorites fish burgers, hard pick",mVHrayjG3uZ_RLHkLj-AMg,5,04-12-15,review
33,"{u'funny': 0, u'useful': 0, u'cool': 0}",rtKuu--pSi1fkUekrVSVAg,GBz2JXMIypoBbVtSIH_r4w,"gone frick mansion tour told friends stopping lunch rankin  wasn't enthusiasm location reluctantly agreed   stopped wife said aren't going order food enjoyed best reuben,  fish sandwich stuffed peppers sold  owner came thanked stopping  real asset place  restrooms spotless, important wife  taken places hover  commode  went days later hulushki  real gem perfect place eat real comfort food  don't forget liver onions ",mVHrayjG3uZ_RLHkLj-AMg,5,15-12-15,review
34,"{u'funny': 0, u'useful': 0, u'cool': 0}",qiczib2fO_1VBG8IoCGvVg,v59hvgI7A2EkFFuGkWZksQ,"excellent fish sandwich, wonderful reuben sandwich, stuffed cabbage tastes homemade    chrissy delightful hostess makes feel welcome   restaurant personnel pleasant    really enjoy visiting emils i'm town   regret closed mondays    worth trip",mVHrayjG3uZ_RLHkLj-AMg,5,16-12-15,review
35,"{u'funny': 0, u'useful': 0, u'cool': 0}",fRMPvlxxMaEAHrQu5fP2cw,Pm6hPvRnV7dLMHpp7Yf9Wg,"wouldnt say best fish sandwich ive   definitely huge portion bland special  nice people good service largely disagree reviews  atmosphere quite drab, classic western pa corner bar windows, poorly lit, overall fairly dismal     clientele deaths door, missing limbs morbidly obese  fries frozen cooked  meatballs dry bland  high hopes left feeling disappointed, defeated, bloated like swallowed entire rustbelt bite   ",mVHrayjG3uZ_RLHkLj-AMg,3,21-01-16,review
36,"{u'funny': 0, u'useful': 0, u'cool': 0}",5OumCBQ_MyQsltSdbMyunA,vtqE5Sy9qk74qiS6ybleoQ,"fourth time review  disappoints! home cooking, old school like grandma's house  don't expect ambiance, you're hungry want nice wait staff, (usually family) squeaky clean, great value generous portions-way finish, emil's place tonight cup chicken dumpling soup sooooo good! obviously home  onion rings perfectly cooked, doesn't sound fancy, finish  husband chicken parm  thursday italian night  came huge salad, fresh, entire loaf italian bread, generous portion nicely crisped tender chicken breasts  added helping ziti  husband enjoyed chicken perfectly cooked  i'm sauce snob, italian, allergic aversion green peppers  just hint green pepper sauce probably avoid red sauce emil's that's just quirk  i've stuffed cabbages fried fish, ruebens, burgers - wonderful! emil family serbian decent  food love  love emils!",mVHrayjG3uZ_RLHkLj-AMg,5,22-02-16,review
37,"{u'funny': 0, u'useful': 0, u'cool': 0}",09jLk1V4_0Cg9FJc97luHQ,oZvG231a9J_wzX_HRMzWtw,remember old man 20 years ago eating giant size hamburger used asked questions miss days food spectacular fish die just schedule things promise won't sorry ,mVHrayjG3uZ_RLHkLj-AMg,5,13-03-16,review
38,"{u'funny': 0, u'useful': 0, u'cool': 0}",hAT1Y7gf71TPJ6S-hRTO8Q,wjFPIigHK6I0qaBEypilRA,"great food  & service visit  things right especially taking care customers   received hello, follow food, thank good bye   restaurants away simple steps service  i'm glad emil's ",mVHrayjG3uZ_RLHkLj-AMg,4,07-04-16,review
39,"{u'funny': 0, u'useful': 0, u'cool': 0}",j9wgdbO7uToEr7Yb4MwnOw,SFeWP61QfW_lgpa2n9LzNw,"second time weeks   liked emil's, just haven't way lately   going change   week wonderful fish - good   week stopped tuesday golf   bartender recommended special day - chicken romano garlic olive oil pasta   truly outstanding!  wait  homemade tomato soup asiago cheese delicious   thanks chef tony!",mVHrayjG3uZ_RLHkLj-AMg,5,08-05-16,review
40,"{u'funny': 0, u'useful': 0, u'cool': 0}",j9wgdbO7uToEr7Yb4MwnOw,PxrT9BbjY4QzRINGgT_0qw,"chicken romano (yes, - good)  husband shrimp stuffed crab - wow! love, love! thanks kk, great suggestions!",mVHrayjG3uZ_RLHkLj-AMg,5,08-07-16,review
41,"{u'funny': 0, u'useful': 0, u'cool': 0}",XN5PALUxEOxgUrhaXXAJzA,5iMYI_FQDtbSRJNkbniSaA,"like course  maintained  carts excellent shape, electric equipped gps  greens fees extremely reasonable holes challenging, better golfer  truly grand view mon, triangle cathedral learning braddock, edgar thompson works, kennywood  feet cart path, woods, abundant wildlife  caveat- bring abundant supply balls  golf like sleeve",mYSpR_SLPgUVymYOvTQd_Q,5,27-05-15,review
42,"{u'funny': 0, u'useful': 0, u'cool': 0}",JRWpliEmVN3ghyh9NQr1yA,XGObgnRNEOPMyQ3B9lAlhg,"2nd time playing  area bowling tournament group decided come early round golf  course hilly challenging readable fairly flat greens  suggests, grand view course surrounding areas  carts excellent shape provide electronic scoring course gps   folks pride course good care ",mYSpR_SLPgUVymYOvTQd_Q,5,26-04-16,review
43,"{u'funny': 0, u'useful': 0, u'cool': 0}",BkSeJo9g0s1YY7FSPqXSyg,5idUtnXsCzXDYECjaRphqA,"challenging fun course! bring plenty extra balls, novice lost 5  carts great condition remind stay cart path annoying looking balls safety guide hole  pro nice patient group delay teeing hour parkway closures  driving range write home gets job warming  beautiful views lots variety length layout holes  i'll definitely",mYSpR_SLPgUVymYOvTQd_Q,5,10-07-16,review
44,"{u'funny': 2, u'useful': 2, u'cool': 2}",ay9H1RpjbBkaiXGxfh7LaA,v_uEDbK5fP1UJpkXNPwXpQ,"local haunt, relocate pittsburgh area  great little place! friendly staff, damn good eats! great, actually went twice 4-day vacation catch steelers/ravens game  daily sandwich specials  thursday night went special roast beef cheese sand ,  35 cent wings  tasty  i'm sorry, place kicks primanti bros  butt taste factor  8 different types wings    reg , garlic, remember rest - got regular, wishing ordered going friday night, ordered buffalo chicken pizza pepperoni n' mushroom   wow! buffalo chicken pizza awesome thing stuck customers  older gentleman; regular  really, really wanted spam t-shirt ",KayYbHCt-RkbGcPdGOThNg,4,11-10-10,review
45,"{u'funny': 1, u'useful': 0, u'cool': 1}",JbWnXwjLaO1kncUkQOMajg,j8GuxQJ_DQsSfrJNkmcACA,"great townie bar tasty food interesting clientele  went check place way home airport friday night didn't disappoint  refreshing walk townie bar feel like music stops place staring - i'm guessing mixed crowd older hockey fans, young men collared shirts, thirtysomethings probably seen time place  staff notch - orders somewhat overwhelming appeared short-staffed night, waitress tried positive attitude entire visit  waiter wearing hooded cardigan, wanted steal difficulty finding quality article clothing ordered white pizza - large size, engulfed cheese, garlic flavor, flavorful hot sausage  overall delicious pizza, aside 2 things: 1, way grease know comes territory, unbearable); 2, canned mushrooms - worst thing come   eat canned alpo canned mushrooms  mushrooms weren't canned, just worst mushrooms i've consumed  mushroom debacle lower review entire star - disgusting!

my advice place awesome - random music jukebox, tasty food, great prices, good crowd staff - decent mushrooms; spoil average pie inferior crap, i'll know ",KayYbHCt-RkbGcPdGOThNg,4,27-02-11,review
46,"{u'funny': 0, u'useful': 0, u'cool': 1}",4-3IU5uUH90m21TWbZhhnA,2xCds3bp0wM6nHMz3H65vg,"alexion's forever   time went 19 years old summer break college working ice cream factory hill   union guys ice cream factory went work, immediately   years later, stopped fond memories, felt welcomed valued customer, didn't know   sandwiches pittsburgh-style, sort like primanti's, perfect today ancient times started visiting place   alexion's clean peaceful little place rook station green tree, oldest town   recall sandwiches got ordered pretty late hour   good things say place, wish closer home!",KayYbHCt-RkbGcPdGOThNg,4,15-08-11,review
47,"{u'funny': 0, u'useful': 0, u'cool': 0}",bcwr1bFov3PSa1FiGfpc9g,UrukGX1emhSRe2fGdxdVPA,"good cheap drinks wings, offer daily specials nice  doesnt look like outside inside friendly bartenders awhile good job  dont expect huge selection alcohol  wings good salads  gluten free place   lots fried food sandwiches  offers quick lunch ",KayYbHCt-RkbGcPdGOThNg,3,22-12-11,review
48,"{u'funny': 0, u'useful': 0, u'cool': 0}",Sjb5e5-gKoLXueFDMc2R8Q,2_Ru_ASf75kU303rdQjFfQ,"cool bar/restaurant   doubt visiting   service prices great   restrooms clean    buffalo chicken sandwich delicious   menu consists typical bar food food, theres different items stand menu  cool bar beaten path worth trip   cheers ! !",KayYbHCt-RkbGcPdGOThNg,4,25-04-13,review
49,"{u'funny': 0, u'useful': 0, u'cool': 0}",tnArVArlj5usJLZbq9ydbQ,OZ_2Ss5H2bNxnYEcEZC0fA,"awesome drink specials happy hour  fantastic wings crispy delicious, wing night tuesday thursday!",KayYbHCt-RkbGcPdGOThNg,5,29-04-13,review
50,"{u'funny': 0, u'useful': 0, u'cool': 0}",W_NfPGdpM0286WBDNSvY5g,PUY1KIrW0BY9ENb3bfv2iQ,"good beer selection  understaffed light monday night crowd, wasn't fault server  took hour sandwiches  best reubens i've ",KayYbHCt-RkbGcPdGOThNg,3,17-09-13,review
51,"{u'funny': 0, u'useful': 0, u'cool': 0}",h-A_xNeB_xSbc0psqHyoJg,0klMyorClST8NYGJqArzPQ,grew near  family month  haven't stopped years friday friends grab drink  sandwiches amazing just remember  staff amazing friendly  great place lunch ,KayYbHCt-RkbGcPdGOThNg,5,16-02-14,review
52,"{u'funny': 0, u'useful': 0, u'cool': 0}",GcBAIs4pzeK6OzHpawgZlg,UVx5-SD8RyZu3NPRU5GwZg,disappointed customer service  ordered reuben's  wanted coleslaw instead kraut  charged $3 00 coleslaw    iced tea terrible tasting ,KayYbHCt-RkbGcPdGOThNg,2,13-03-14,review
53,"{u'funny': 0, u'useful': 0, u'cool': 0}",udy8pMNA09YDs98e51wXZQ,1yRSd1j8gamtcUN9lSZ3Uw,"met couple friends friday afternoon 440 pm, based yelp reviews  i've relied yelp dozen different cities, came away positive experience today  ordered 5 minutes sitting 20 people place, counting people patio   took 40 minutes serve 3 sandwiches salad  tried fish sandwich, came fried extra crispy ends, thing fish jerky sandwich qualified, just ok  i've better church fries fish lent  3 dinner companions left partial sandwiches  salad uneaten  bread french fries onion rings good  iced tea good, i've seen place dispense sweet n low like giving away rock crack  asked sugar saw don't carry artificial sweeteners pink stuff place try future reuben hamburger, assuming today aberration possibly cook having family emergency like  waitress pretty good, held multiple requests caught fish hardly rolled eyes :)",KayYbHCt-RkbGcPdGOThNg,3,08-08-14,review
54,"{u'funny': 0, u'useful': 1, u'cool': 0}",t6OkrXgpcAZfJa2om9QO4A,QSu0l7koHMlTIhWbiiKMxg,"friendly local bar great service good food,  won't disappointed like bar food reasonable price   good place ""friday fish sandwich """,KayYbHCt-RkbGcPdGOThNg,3,02-07-15,review
55,"{u'funny': 0, u'useful': 1, u'cool': 0}",QawZN4PSW7ng_9SP7pjsVQ,k41uqc-sxyTve6KIy1cisg,"friendly staff, good food, great beer selection, relaxing atmosphere  great wings buffalo chicken pizza best i've  sandwiches cut italian bread fresh  definitely  hidden gem greetree/carnegie area  looking low key hole wall good prices great food place ",KayYbHCt-RkbGcPdGOThNg,5,15-07-15,review
