,votes,user_id,review_id,text,business_id,stars,date,type
12,"{u'funny': 0, u'useful': 1, u'cool': 0}",fhNxoMwwTipzjO8A9LFe8Q,XsA6AojkWjOHA4FmuAb8XQ,Decent close pretty solid amenable Which excellent amazing short,cE27W9VPgO88Qxe4ol6y_g,3,19-08-12,review
13,"{u'funny': 0, u'useful': 1, u'cool': 0}",-6rEfobYjMxpUWLNxszaxQ,rkD7UDbQ9VM3Va6bI-eBHQ,much clean accessible april old thread sure driving good,cE27W9VPgO88Qxe4ol6y_g,1,18-04-13,review
14,"{u'funny': 0, u'useful': 0, u'cool': 0}",KZuaJtFindQM9x2ZoMBxcQ,WExNE-f93SL4D1q8s9QWKg,absolute available last,cE27W9VPgO88Qxe4ol6y_g,1,14-07-13,review
15,"{u'funny': 0, u'useful': 0, u'cool': 0}",H9E5VejGEsRhwcbOMFknmQ,iS34GJhMkkt9kCoTJLYEwA,same fine low big familiar many nice pro big red extra 4th first reasonable,cE27W9VPgO88Qxe4ol6y_g,4,16-08-13,review
16,"{u'funny': 0, u'useful': 0, u'cool': 0}",ljwgUJowB69klaR8Au-H7g,S-G0D8Cy7PnqShoBZu8PCA,sneak new amazing entire many nice,cE27W9VPgO88Qxe4ol6y_g,4,11-07-14,review
17,"{u'funny': 0, u'useful': 5, u'cool': 0}",LWbYpcangjBMm4KPxZGOKg,6w6gMZ3iBLGcUM4RBIuifQ,pretty early late friendly good massive large affordable giant giant several come prepared pretty sure,mVHrayjG3uZ_RLHkLj-AMg,5,01-12-12,review
18,"{u'funny': 0, u'useful': 0, u'cool': 0}",m1FpV3EAeggaAdfPx0hBRQ,jVVv_DA5mCDB6mediuwHAw,Fish,mVHrayjG3uZ_RLHkLj-AMg,5,15-03-13,review
19,"{u'funny': 0, u'useful': 3, u'cool': 1}",8fApIAMHn2MZJFUiCQto5Q,3Es8GsjkssusYgeU6_ZVpQ,glad hit miss good slow friendly few different sure happy fresh prepared busy good little -Fish huge delicious few low large delicious good,mVHrayjG3uZ_RLHkLj-AMg,5,30-03-13,review
20,"{u'funny': 0, u'useful': 1, u'cool': 0}",uK8tzraOp4M5u3uYrqIBXg,KAkcn7oQP1xX8KsZ-XmktA,good luxurious shot friendly good great great worse,mVHrayjG3uZ_RLHkLj-AMg,4,20-10-13,review
21,"{u'funny': 0, u'useful': 0, u'cool': 0}",6wvlM5L4_EroGXbnb_92xQ,BZNJkkP0bXnwQ2-sCqat2Q,..traditional superb great non-corporate,mVHrayjG3uZ_RLHkLj-AMg,5,07-11-13,review
22,"{u'funny': 0, u'useful': 2, u'cool': 1}",345nDw0oC-jOcglqxmzweQ,VDTIbR3G5_IPkpXbo2MutA,nice super nice excellent reasonable enormous tasty,mVHrayjG3uZ_RLHkLj-AMg,5,22-03-14,review
23,"{u'funny': 0, u'useful': 0, u'cool': 0}",u9ULAsnYTdYH65Haj5LMSw,5uyYmniYyIB_wtKtyXDudQ,Wonderful incorrect different,mVHrayjG3uZ_RLHkLj-AMg,4,29-09-14,review
24,"{u'funny': 0, u'useful': 0, u'cool': 0}",pdHC0oAcG7gNdhuFRAUu0Q,zyn_Libz9VZTZ--OdC4-tQ,Good,mVHrayjG3uZ_RLHkLj-AMg,5,29-09-14,review
25,"{u'funny': 0, u'useful': 3, u'cool': 2}",tAKjY3bQXH51msJbOHYPmQ,uf61rPucuICXhSPXlZ1hIQ,decent early whole welcomed decent first dismal little unassuming add-on old front old dark white good actual white few cheap good decent little thick overall tasty skimpy true good big huge good Fish breaded amazing special fantastic good friendly iced fresh busy good reasonable comfortable like blue Fan-freakin-tastic sure own hidden fish-shaped popular flavorful fish,mVHrayjG3uZ_RLHkLj-AMg,5,03-11-14,review
26,"{u'funny': 0, u'useful': 0, u'cool': 0}",Kq8-FUG7d_MT2qRNiNBJnA,xY2gjy49dnpQSB2RTZzqCw,hidden right wide glad flavorful friendly,mVHrayjG3uZ_RLHkLj-AMg,4,18-12-14,review
27,"{u'funny': 1, u'useful': 1, u'cool': 4}",a0ULPTNi05w-BNVovVUz2w,1W1vq7D1ofwFKbCA_GWu_A,other top few first old Italian fish hooked fish nice fish equal small n friendly prompt rough right lunch other menu,mVHrayjG3uZ_RLHkLj-AMg,5,06-03-15,review
28,"{u'funny': 0, u'useful': 0, u'cool': 0}",FoFdGS2TjVUUXptBS_gdNQ,RgYjyaOkSY1b5r9wirrfIQ,hometown fish Other,mVHrayjG3uZ_RLHkLj-AMg,4,16-03-15,review
29,"{u'funny': 0, u'useful': 0, u'cool': 0}",XN5PALUxEOxgUrhaXXAJzA,mzafz6umneP5CBkzHGGsfQ,great reasonable tasty prepared friendly free easy area- right fish glad,mVHrayjG3uZ_RLHkLj-AMg,5,27-05-15,review
30,"{u'funny': 0, u'useful': 0, u'cool': 0}",E5O8wsWiGLqoOVBmG84wcw,boU6hZwK-As9Zf7YHVq4GA,delicious fish holy own little delicious real good good good good,mVHrayjG3uZ_RLHkLj-AMg,5,02-07-15,review
31,"{u'funny': 0, u'useful': 1, u'cool': 1}",k0a-uii8yr__Rl-9ipl_RA,e11K8g-0m66gDeRz3TgSIQ,fried fish fish Maximilian year-old rough first much well-kept dated basic reasonable high stuffed stuffed fish true fresh fried enormous soft chewy crispy Italian hot cod thin great good good pleasant friendly great other much good true few alive hungry,mVHrayjG3uZ_RLHkLj-AMg,5,06-11-15,review
32,"{u'funny': 0, u'useful': 0, u'cool': 0}",LQUy7D5Bzb2WutEXhVg2Tw,MKEs8po2_DFt9msCp8w68A,good friendly large fish hard,mVHrayjG3uZ_RLHkLj-AMg,5,04-12-15,review
33,"{u'funny': 0, u'useful': 0, u'cool': 0}",rtKuu--pSi1fkUekrVSVAg,GBz2JXMIypoBbVtSIH_r4w,much fish real important real perfect real,mVHrayjG3uZ_RLHkLj-AMg,5,15-12-15,review
34,"{u'funny': 0, u'useful': 0, u'cool': 0}",qiczib2fO_1VBG8IoCGvVg,v59hvgI7A2EkFFuGkWZksQ,Excellent stuffed delightful welcome Restaurant pleasant closed,mVHrayjG3uZ_RLHkLj-AMg,5,16-12-15,review
35,"{u'funny': 0, u'useful': 0, u'cool': 0}",fRMPvlxxMaEAHrQu5fP2cw,Pm6hPvRnV7dLMHpp7Yf9Wg,ive huge special nice good drab classic western overall dismal deaths obese frozen dry high disappointed entire,mVHrayjG3uZ_RLHkLj-AMg,3,21-01-16,review
36,"{u'funny': 0, u'useful': 0, u'cool': 0}",5OumCBQ_MyQsltSdbMyunA,vtqE5Sy9qk74qiS6ybleoQ,fourth first old hungry want nice clean great generous good fancy Italian huge fresh entire Italian generous Italian allergic green green red stuffed fried wonderful Serbian,mVHrayjG3uZ_RLHkLj-AMg,5,22-02-16,review
37,"{u'funny': 0, u'useful': 0, u'cool': 0}",09jLk1V4_0Cg9FJc97luHQ,oZvG231a9J_wzX_HRMzWtw,old giant spectacular sorry,mVHrayjG3uZ_RLHkLj-AMg,5,13-03-16,review
38,"{u'funny': 0, u'useful': 0, u'cool': 0}",hAT1Y7gf71TPJ6S-hRTO8Q,wjFPIigHK6I0qaBEypilRA,many good many simple glad,mVHrayjG3uZ_RLHkLj-AMg,4,07-04-16,review
39,"{u'funny': 0, u'useful': 0, u'cool': 0}",j9wgdbO7uToEr7Yb4MwnOw,SFeWP61QfW_lgpa2n9LzNw,second Last wonderful fish good Last special garlic olive outstanding delicious,mVHrayjG3uZ_RLHkLj-AMg,5,08-05-16,review
40,"{u'funny': 0, u'useful': 0, u'cool': 0}",j9wgdbO7uToEr7Yb4MwnOw,PxrT9BbjY4QzRINGgT_0qw,good great,mVHrayjG3uZ_RLHkLj-AMg,5,08-07-16,review
41,"{u'funny': 0, u'useful': 0, u'cool': 0}",XN5PALUxEOxgUrhaXXAJzA,5iMYI_FQDtbSRJNkbniSaA,excellent electric reasonable many grand few cart abundant abundant,mYSpR_SLPgUVymYOvTQd_Q,5,27-05-15,review
42,"{u'funny': 0, u'useful': 0, u'cool': 0}",JRWpliEmVN3ghyh9NQr1yA,XGObgnRNEOPMyQ3B9lAlhg,early readable flat excellent electronic good,mYSpR_SLPgUVymYOvTQd_Q,5,26-04-16,review
43,"{u'funny': 0, u'useful': 0, u'cool': 0}",BkSeJo9g0s1YY7FSPqXSyg,5idUtnXsCzXDYECjaRphqA,fun extra great cart next nice patient due Beautiful,mYSpR_SLPgUVymYOvTQd_Q,5,10-07-16,review
44,"{u'funny': 2, u'useful': 2, u'cool': 2}",ay9H1RpjbBkaiXGxfh7LaA,v_uEDbK5fP1UJpkXNPwXpQ,local great little Such friendly good great 4-day daily sandwich special cheese tasty sorry different regular pepperoni awesome other regular SPAM,KayYbHCt-RkbGcPdGOThNg,4,11-10-10,review
45,"{u'funny': 1, u'useful': 0, u'cool': 1}",JbWnXwjLaO1kncUkQOMajg,j8GuxQJ_DQsSfrJNkmcACA,great townie tasty interesting townie mixed young collared top overwhelming positive entire other hooded due such white large full garlic flavorful hot overall delicious much unbearable enough entire awesome tasty great good decent above such inferior,KayYbHCt-RkbGcPdGOThNg,4,27-02-11,review
46,"{u'funny': 0, u'useful': 0, u'cool': 1}",4-3IU5uUH90m21TWbZhhnA,2xCds3bp0wM6nHMz3H65vg,first old perfect clean peaceful little late good,KayYbHCt-RkbGcPdGOThNg,4,15-08-11,review
47,"{u'funny': 0, u'useful': 0, u'cool': 0}",bcwr1bFov3PSa1FiGfpc9g,UrukGX1emhSRe2fGdxdVPA,Good cheap daily nice outside friendly good good gluten free quick,KayYbHCt-RkbGcPdGOThNg,3,22-12-11,review
48,"{u'funny': 0, u'useful': 0, u'cool': 0}",Sjb5e5-gKoLXueFDMc2R8Q,2_Ru_ASf75kU303rdQjFfQ,cool great.. clean delicious typical few different cool beaten,KayYbHCt-RkbGcPdGOThNg,4,25-04-13,review
49,"{u'funny': 0, u'useful': 0, u'cool': 0}",tnArVArlj5usJLZbq9ydbQ,OZ_2Ss5H2bNxnYEcEZC0fA,happy Fantastic crispy delicious,KayYbHCt-RkbGcPdGOThNg,5,29-04-13,review
50,"{u'funny': 0, u'useful': 0, u'cool': 0}",W_NfPGdpM0286WBDNSvY5g,PUY1KIrW0BY9ENb3bfv2iQ,Good light only,KayYbHCt-RkbGcPdGOThNg,3,17-09-13,review
51,"{u'funny': 0, u'useful': 0, u'cool': 0}",h-A_xNeB_xSbc0psqHyoJg,0klMyorClST8NYGJqArzPQ,few last few amazing friendly Great,KayYbHCt-RkbGcPdGOThNg,5,16-02-14,review
52,"{u'funny': 0, u'useful': 0, u'cool': 0}",GcBAIs4pzeK6OzHpawgZlg,UVx5-SD8RyZu3NPRU5GwZg,disappointed iced terrible,KayYbHCt-RkbGcPdGOThNg,2,13-03-14,review
53,"{u'funny': 0, u'useful': 0, u'cool': 0}",udy8pMNA09YDs98e51wXZQ,1yRSd1j8gamtcUN9lSZ3Uw,different positive fried extra such fish third ok fish partial salad uneaten french good good low last other artificial due good multiple fish,KayYbHCt-RkbGcPdGOThNg,3,08-08-14,review
54,"{u'funny': 0, u'useful': 1, u'cool': 0}",t6OkrXgpcAZfJa2om9QO4A,QSu0l7koHMlTIhWbiiKMxg,local great good reasonable Good,KayYbHCt-RkbGcPdGOThNg,3,02-07-15,review
55,"{u'funny': 0, u'useful': 1, u'cool': 0}",QawZN4PSW7ng_9SP7pjsVQ,k41uqc-sxyTve6KIy1cisg,Friendly good great thick Italian fresh hidden low key good great,KayYbHCt-RkbGcPdGOThNg,5,15-07-15,review
56,"{u'funny': 0, u'useful': 1, u'cool': 1}",NCauclFtEoBCroQvdwYz4g,HVAB9Be-jOHNJE4d3OTciw,wonderful huge good great kitchen,KayYbHCt-RkbGcPdGOThNg,5,16-08-15,review
57,"{u'funny': 1, u'useful': 1, u'cool': 1}",NaTnrURv9lKSk53FjGS7Cg,ib7gyGiDZwI2ji1grqWMMw,Perfect nice little right unique,KayYbHCt-RkbGcPdGOThNg,4,11-11-15,review
58,"{u'funny': 11, u'useful': 22, u'cool': 19}",2rSeth60_CuWN3ZJ4k41lg,U7G7EZ_izrpHJ26BuPtcrA,small packed popular nice due fish great fish nice special good terrible busy strict fish sandwich nice little small other nice good average bad small decent pleasant,KayYbHCt-RkbGcPdGOThNg,3,14-01-16,review
59,"{u'funny': 0, u'useful': 0, u'cool': 1}",iFrkTlJfoLvJucPkq9y8UA,eGO7dle5fC4sZy_iPUkQQA,real nice decent Comfortable decent reasonable good cool excellent good,KayYbHCt-RkbGcPdGOThNg,4,16-02-16,review
60,"{u'funny': 0, u'useful': 0, u'cool': 1}",8K8qHAH9AREKxIIZAwQ9Fg,rIOD3I79RMhEfBHYenMs7Q,Fantastic excellent great great hometown good friendly good large Excellent,KayYbHCt-RkbGcPdGOThNg,5,18-02-16,review
61,"{u'funny': 0, u'useful': 0, u'cool': 1}",S20zRS16LfpNfiZTNVjpNA,P4U2PV0B4J0Bv7lEo_iaFw,nice great top awesome First,KayYbHCt-RkbGcPdGOThNg,5,05-06-16,review
62,"{u'funny': 0, u'useful': 1, u'cool': 0}",xzie68uK2ViI0ddnLHw1tw,N1O_3yeUB0nn3otEJc88tA,up- mid-level new flat ~2 long warranted good,b12U9TFESStdy7CsTtcOeg,1,14-12-12,review
63,"{u'funny': 0, u'useful': 1, u'cool': 0}",trYPAmnPz6ChpIgx0jGbyg,DuTV6MVj5qjTJTlpwlUsBw,flat local previous new resentful unlikely new simple used,b12U9TFESStdy7CsTtcOeg,1,21-03-13,review
64,"{u'funny': 0, u'useful': 0, u'cool': 0}",XTp6S7yXL7HluVUaBYdbyQ,8rZtuT8USrLQIu5k4LPFKw,Terrible next,b12U9TFESStdy7CsTtcOeg,1,27-09-13,review
65,"{u'funny': 0, u'useful': 1, u'cool': 0}",RsaEvod4EOBYIdbRBBv0sw,ap4IaJaTlj_txbJe99D6oQ,Contrary other past experienced Other notorious dry previous,b12U9TFESStdy7CsTtcOeg,4,20-02-14,review
66,"{u'funny': 0, u'useful': 1, u'cool': 0}",5noqL9IulqZx326u6eg4Rw,Yip27oh0XMK0_1C3bN_DNA,Last new long minor free next same frustrated,b12U9TFESStdy7CsTtcOeg,1,27-02-14,review
67,"{u'funny': 1, u'useful': 1, u'cool': 1}",Nhvkukz5MECqEUQVfh6A6w,xMxam9Fh0GLCJ-ttO19qwA,Awesome fatalistic flat workday full new,b12U9TFESStdy7CsTtcOeg,5,24-03-15,review
68,"{u'funny': 0, u'useful': 0, u'cool': 0}",rcJOIO7wSgb-02sx656DtQ,QdW8YPDUJ6MW2tpIhEcC9w,new good reasonable pressured expensive,b12U9TFESStdy7CsTtcOeg,4,09-04-15,review
69,"{u'funny': 0, u'useful': 0, u'cool': 0}",072tu2_MFWmw-jb1O6DQYg,kNAhHVuUzbYt0UG9QqwaCQ,random mini old spare few local,Sktj1eHQFuVa-M4bgnEh8g,4,24-03-10,review
70,"{u'funny': 0, u'useful': 0, u'cool': 0}",5eR_TeDFbOmv28MoRwH-lw,apM_3NdKNQjIjRLeFN7vOQ,original fun nice Pennsylvanian impossible difficult cartoon-like next new only impossible,Sktj1eHQFuVa-M4bgnEh8g,4,25-02-11,review
71,"{u'funny': 0, u'useful': 0, u'cool': 0}",4cW3iQW6JD1C8VxYP0eyXg,dBkNFAmn9RcRGac4o62lpA,woodsy,Sktj1eHQFuVa-M4bgnEh8g,4,25-10-12,review
72,"{u'funny': 0, u'useful': 1, u'cool': 0}",4cW3iQW6JD1C8VxYP0eyXg,o5J7NoSEA-PvkcpMuQn8kg,fellow right strange,Sktj1eHQFuVa-M4bgnEh8g,4,29-10-12,review
73,"{u'funny': 0, u'useful': 1, u'cool': 0}",BNiS6iuXJHMqTyuKQgyHYQ,5q5h76tiVrgn5ElyZzpx9Q,different,3ZVKmuK2l7uXPE6lXY4Dbg,1,17-07-14,review
74,"{u'funny': 0, u'useful': 10, u'cool': 1}",nEYPahVwXGD2Pjvgkm7QqQ,nkquD2FJgZvyj3bcobqlrg,nice new good nice true straight excited harsh confident utterly couple wish quick real simple dug other main next second tiny good nice main trustworthy upstanding main ongoing updated nice,3ZVKmuK2l7uXPE6lXY4Dbg,2,06-08-14,review
75,"{u'funny': 0, u'useful': 0, u'cool': 0}",Z2HWwo5mIEc8SIVZH0IlfQ,DJlSJTPwrPJuxnxPbWBDnQ,polite new new reasonable beautiful Overall good,3ZVKmuK2l7uXPE6lXY4Dbg,4,20-10-14,review
76,"{u'funny': 0, u'useful': 0, u'cool': 0}",U4oSrj0ha0gKT62g8tPERw,C2JqxAAroijbe2brkAnpxg,other friendly exam gentle other,QoDa50dc7g62xciFygXB9w,5,22-12-14,review
77,"{u'funny': 0, u'useful': 0, u'cool': 0}",9RIvLk16qajjPkvu5_HAbg,1LLHzhneBURLza-b-bBkug,absolute good own due sensitive sure peaceful,QoDa50dc7g62xciFygXB9w,5,29-12-14,review
78,"{u'funny': 0, u'useful': 0, u'cool': 0}",RsZ4R-hFKkHASsumLrl4Qg,Ykvu7-r340CkVD8UbDEBVA,enough previous numerous bottom respectful genuine hard poor positive much good fellow phenomenal,QoDa50dc7g62xciFygXB9w,5,03-06-15,review
79,"{u'funny': 0, u'useful': 0, u'cool': 0}",CFh9jAl5_DUSgNBA5bP5RQ,qfqs3mq5ctYFG8S-IDb_aQ,high great subsequent,QoDa50dc7g62xciFygXB9w,1,08-09-15,review
80,"{u'funny': 0, u'useful': 0, u'cool': 0}",NaF9nJPgNRicKckQldi-pA,AOzFMkdPS-nguc8ukqV6GQ,old golden allergic uncomfortable cold open vet positive good,QoDa50dc7g62xciFygXB9w,1,13-07-16,review
81,"{u'funny': 0, u'useful': 0, u'cool': 0}",Pe4QxbvKhLFHWiypevdmQg,QCMDSYIfRSJiZUxW_N6GRg,main open,1_lU0-eSWJCRvNGk78Zh9Q,4,20-08-14,review
82,"{u'funny': 0, u'useful': 0, u'cool': 1}",bvu13GyOUwhEjPum2xjiqQ,EPyJ0xygCYn6Fe3oCBt3-A,historic high comfortable pleasant pleasant free true true,1_lU0-eSWJCRvNGk78Zh9Q,4,06-01-15,review
83,"{u'funny': 0, u'useful': 0, u'cool': 0}",MLQre1nvUtW-RqMTc4iC9A,QctTSh8Vv0QBOCs2Ec0wIQ,Beautiful,1_lU0-eSWJCRvNGk78Zh9Q,5,25-10-15,review
84,"{u'funny': 1, u'useful': 2, u'cool': 2}",bvu13GyOUwhEjPum2xjiqQ,auC6xw7Xl7kDDSHefVIZ4g,gear lucky flat present hazard rear much Advanced alive good extra nice nice proud gear,_qopVQ6_Mz6W7-Pmbi56GQ,3,13-02-13,review
85,"{u'funny': 0, u'useful': 0, u'cool': 0}",_QFom7aSHKNCDsNXKd-3xQ,k3wTN0MQYEdnQsJEp99O4A,Great great great busy,_qopVQ6_Mz6W7-Pmbi56GQ,5,19-02-14,review
86,"{u'funny': 0, u'useful': 0, u'cool': 1}",9HCfCmd0t5GErgm7He6AeQ,kj0kTIV4hoPQv4xlB7jZ2A,same replacement good general self sure convenient,_qopVQ6_Mz6W7-Pmbi56GQ,3,17-12-15,review
87,"{u'funny': 1, u'useful': 2, u'cool': 3}",T_wjLgPOPXry7Bea4MzoVQ,XW_RwDoN9StbDt0Y1pc3VA,a.k.a direct funny funny funny nice happy willing little engaging gravy cheese certain other bad much other bad brown main white hot fresh luncheon happy bad,wJr6kSA5dchdgOdwH6dZ2w,3,10-12-09,review
88,"{u'funny': 1, u'useful': 1, u'cool': 0}",LaPatM6c289ClpysmzZpdQ,LOqF4d657XomJGRKpFKlhg,late super-kick-ass shit-tastic last gross nice big filling,wJr6kSA5dchdgOdwH6dZ2w,3,03-01-10,review
89,"{u'funny': 0, u'useful': 0, u'cool': 0}",vGI3dbg5zFRXBg4eVVmGSg,e2YxtsZJE3w6DdNP8yMs7w,various regularly complete low great dont fine much sweet sarcastic same little other big,wJr6kSA5dchdgOdwH6dZ2w,4,06-11-10,review
90,"{u'funny': 0, u'useful': 0, u'cool': 0}",9MmWbiE7txW_OplDAnoaqA,RRddfCx_goh5UnEIwx9HMA,Hoofah.,wJr6kSA5dchdgOdwH6dZ2w,2,21-11-11,review
91,"{u'funny': 0, u'useful': 0, u'cool': 1}",q7MrNVt1FE23rwtWmPYWHg,bgLHVU09FpJ-uEOFFor6uA,good old,wJr6kSA5dchdgOdwH6dZ2w,4,30-05-12,review
92,"{u'funny': 0, u'useful': 0, u'cool': 0}",7KoVg5QMjYu8taLFSE7hNA,pLkbUd2H5ducEeJPi1BPGw,polite friendly sure previous friendly French own farm-fresh brown french delicious typical friendly great tasty pleased,wJr6kSA5dchdgOdwH6dZ2w,4,18-09-14,review
93,"{u'funny': 0, u'useful': 0, u'cool': 0}",Nhvkukz5MECqEUQVfh6A6w,NVrAJfj1GhHCeytwYM28hQ,several local particular good great similar hearty good excellent 5-8 comparable,wJr6kSA5dchdgOdwH6dZ2w,3,26-01-15,review
94,"{u'funny': 0, u'useful': 0, u'cool': 0}",284ZoU1QyY1y-_j0YYJH3g,iIot3sbCL2KxnqvKTczg6A,Good last disappointing,wJr6kSA5dchdgOdwH6dZ2w,3,28-04-16,review
95,"{u'funny': 0, u'useful': 2, u'cool': 0}",T_wjLgPOPXry7Bea4MzoVQ,Ba193vShA-AKcfLYvaEOnA,Average young able puppy,yXuao0pFz1AxB21vJjDf5w,2,27-01-10,review
96,"{u'funny': 0, u'useful': 0, u'cool': 0}",bvu13GyOUwhEjPum2xjiqQ,bMCvh40U7J1xu3IwuulAPg,bad only S n huge Good,yXuao0pFz1AxB21vJjDf5w,3,09-03-11,review
97,"{u'funny': 0, u'useful': 0, u'cool': 0}",zo_soThZw8eVglPbCRNC9A,5kttkNS9zOO5f6ZLkyVgtg,deli great teen pleasant,yXuao0pFz1AxB21vJjDf5w,5,06-09-15,review
98,"{u'funny': 2, u'useful': 6, u'cool': 7}",uDIecT9tlTj1XIeqoyZUyg,P5nGbY0zYWbpw-bLqMtLjQ,friendly clean,yXuao0pFz1AxB21vJjDf5w,4,21-05-16,review
99,"{u'funny': 0, u'useful': 0, u'cool': 0}",1RgzhYIP9GJ7FQbo1d0Sqw,uN7aLNBhjKWw7eaWoVL2hw,great flat snow next snow rude,LLJMI-_fSp6OYQuY4rwarw,1,07-01-14,review
100,"{u'funny': 0, u'useful': 0, u'cool': 0}",JuXS02UyK6_M2VrnBkhQSw,vknegytLb1ntDpkF4kvthw,other fine great used great snow beat,LLJMI-_fSp6OYQuY4rwarw,5,18-02-14,review
101,"{u'funny': 0, u'useful': 0, u'cool': 0}",6VEID9yjoYWFZkUcP_GNBg,VumdyF5zudGwYzEhK9z9ww,dry kept clean nice outrageous on-site big,F04xyOUA2xnUoCiWpx9iJA,3,06-06-12,review
102,"{u'funny': 0, u'useful': 0, u'cool': 0}",d_zE235hKwYut4gyhx3HoA,y33A2bVRGcKT7gMKu-Yz4w,local dry late half worth,F04xyOUA2xnUoCiWpx9iJA,1,21-01-13,review
103,"{u'funny': 0, u'useful': 2, u'cool': 0}",0GysS-pe5jYkiE3eglobgA,zmu4rU3VRGNNTehRY0tZlQ,first ready new expensive happy European nice tailored awesome little tailored European new happy obvious same good,F04xyOUA2xnUoCiWpx9iJA,5,24-02-13,review
104,"{u'funny': 6, u'useful': 1, u'cool': 3}",bvu13GyOUwhEjPum2xjiqQ,nA1Bcv7kaMMrC_x6yzjpAg,great casual humorous humorous little right big honest thoughtful gentle future further,Cdcus0NADzyY3XiJM2O5Sg,5,11-10-11,review
105,"{u'funny': 0, u'useful': 0, u'cool': 0}",SIzRzjkt4IghwUfVOCUEnQ,FMBWVksq6wKskl1sLlLi6g,Real nasty OK excellent,Cdcus0NADzyY3XiJM2O5Sg,2,23-03-14,review
106,"{u'funny': 0, u'useful': 0, u'cool': 0}",S0LZ2YVxRiGVpJIlvFFYfQ,vXCN6pPczOtvqDkFw_jywA,Typical due pretty nice,Cdcus0NADzyY3XiJM2O5Sg,3,25-05-15,review
107,"{u'funny': 0, u'useful': 0, u'cool': 0}",oyNnGTS_MHHfe2NcWsMlgQ,F9BaAIYKRZI38dbT7gnQmA,blank,Cdcus0NADzyY3XiJM2O5Sg,1,04-09-15,review
108,"{u'funny': 0, u'useful': 0, u'cool': 0}",tAKjY3bQXH51msJbOHYPmQ,MsoASFxCmOOkOBOqZ80ngQ,second 'Rocky first true good proper proper regular great great pleasant collar nice second long same back big scan salad salad uber-basic basic few basic big fried old skinny little sweet naive possible dark first pre-portioned prepared second second tiny good slight chem-spuds green basic basic different white dark other mindless Third many other black hungry good,fNGIbpazjTRdXgwRY_NIXA,2,01-09-13,review
